Fukushima_2011_Unit3
,,,,,,,,,,,,,,
Fukushima Daiichi Nuclear Power Station Unit3 Parameters of Temperature,,,,,,,,,,,,,,
Date,Feedwater Nozzle  N4B (end),Reactor Pressure Vessel Bottom Part,RPV Flange,Reactor Pressure Vessel Core,RPV Stud,Vessel Flange 1,Safety Relief Valve  2-71D Leakage,Safety Relief Valve 2-71F Leakage,Main Steam Isolation Valve 2-86A Leak-off,D/W HVH Return Air Duct,RPV Bellows Air,S/C Pool Water Temperature A,S/C Pool Water Temperature B,note
2011/3/19 6:30,335,286,231,328,329,332,189,271,89,313,349,,,
2011/3/19 8:20,331,295,228,352,,,189,271,90,312,346,,,
2011/3/19 8:30,331,296,230,350,,,189,271,90,312,346,,,
2011/3/19 16:30,336.2,,232.7,,,,,,,320,,,,
2011/3/19 17:00,339,327,228,333,,,164,281,89,322,316,,,
2011/3/19 17:20,339,,228,,,,,,,322,,,,
2011/3/20 0:25,334,295,261,295,347,275,173,267,95,299,319,,,
2011/3/20 0:50,329,291,,291,,,,,94,297,,,,
2011/3/20 1:00,,288,,,,,,,94,294,,,,
2011/3/20 1:10,326,288,,288,,,,,94,294,,,,
2011/3/20 3:10,306,277,272,304,356,264,176,249,92,284,329,,,
2011/3/20 3:50,303,,,301,,,,,93,282,,,,
2011/3/20 4:10,303,,,301,,,,,93,282,,,,
2011/3/20 4:20,279,,,300,,,,,93,278,,,,
2011/3/20 4:30,279,,,300,,,,,93,279,,,,
2011/3/20 9:55,219.5,,,251.6,,,,,93.2,226.5,,,,
2011/3/20 10:00,241,215,309,251,287,252,269,197,93,225,342,,,
2011/3/20 10:10,216.9,,,249.2,,,,,92.9,223.9,,,,
2011/3/20 10:35,214.4,,,246.6,,,,,92.6,221.9,,,,
2011/3/20 11:00,210.6,,,243.9,,,,,92.2,219.4,,,,
2011/3/20 15:00,,,,220,,,,,90.9,186.5,,,,
2011/3/20 15:00,139.4,163,347,,371,225,303,155,,,363,,,
2011/3/20 15:35,138.8,,,217.7,,,,,90.7,183.5,,,,
2011/3/20 16:00,135,,,216.1,,,,,90.5,181.2,,,,
2011/3/20 16:30,,307,,,,,307,154,,,,,,
2011/3/20 19:40,,,,198.3,,,,,89.7,156.9,,,,
2011/3/20 19:40,95.4,136.7,393,,359.9,228.2,296.9,137.7,,,382.1,,,
2011/3/20 20:00,90.3,,,198.2,,,,,89.6,156.2,,,,
2011/3/21 1:25,175,,,219.8,,,,137.7,85.6,138,,,,
2011/3/21 1:25,,165.7,558.8,,327.7,360.4,559.3,,,,382.7,,,
2011/3/21 1:45,-131.4,,,217,,,,-133.2,85.1,136.5,,,,
