,VESSEL BOTTOM HEAD(TE-263-69L1),VESSEL BOTTOM HEAD(TE-263-69L2),VESSEL ABOVE SKIRT JOINT(TE-263-69H1),VESSEL ABOVE SKIRT JOINT(TE-263-69H3),VESSEL DOWNCOMMER(TE-263-69G2),VESSEL DOWNCOMMER(TE-263-69G3),Volume of water injection to RPV(FDW),Volume of water injection to RPV(CS),Temperature in the water injection to the reactor（FDW）,Temperature in the water injection to the reactor（CS）,Radioactive concentration in PCV (Xe 135) System A[indicated value],Radioactive concentration in PCV (Xe 135) System A[detection limit],Radioactive concentration in PCV (Xe 135) System B[indicated value],Radioactive concentration in PCV (Xe 135) System B[detection limit],"note"
Unit,℃,℃,℃,℃,℃,℃,m3/h,m3/h,℃,℃,Bq/cm3,Bq/cm3,Bq/cm3,Bq/cm3,""
Instrument condition at the newest time,,,,,,,,,,,,,,,""
2014/1/1 1:00,18.8 ,17.8 ,18.9 ,19.0 ,18.8 ,18.7 ,2.5 ,2.0 ,,,1.49E-03,5.62E-04,1.43E-03,5.78E-04,""
2014/1/1 2:00,18.8 ,17.8 ,18.9 ,19.0 ,18.8 ,18.7 ,2.5 ,2.0 ,,,1.42E-03,5.37E-04,1.41E-03,5.89E-04,""
2014/1/1 3:00,18.8 ,17.8 ,18.9 ,19.0 ,18.8 ,18.7 ,2.4 ,2.0 ,,,1.40E-03,5.51E-04,1.47E-03,5.69E-04,""
2014/1/1 4:00,18.8 ,17.8 ,18.9 ,19.0 ,18.8 ,18.7 ,2.5 ,2.0 ,,,1.54E-03,5.58E-04,1.81E-03,5.58E-04,""
2014/1/1 5:00,18.8 ,17.8 ,18.8 ,19.0 ,18.8 ,18.7 ,2.5 ,2.0 ,,,1.73E-03,5.63E-04,1.27E-03,5.97E-04,""
2014/1/1 6:00,18.8 ,17.8 ,18.8 ,19.0 ,18.7 ,18.7 ,2.4 ,2.0 ,,,1.16E-03,5.82E-04,1.10E-03,5.95E-04,""
2014/1/1 7:00,18.8 ,17.8 ,18.9 ,19.0 ,18.8 ,18.7 ,2.5 ,2.0 ,,,1.58E-03,5.28E-04,1.50E-03,5.79E-04,""
2014/1/1 8:00,18.8 ,17.8 ,18.9 ,19.0 ,18.8 ,18.7 ,2.5 ,2.0 ,,,1.56E-03,5.16E-04,1.67E-03,5.64E-04,""
2014/1/1 9:00,18.8 ,17.8 ,18.8 ,19.0 ,18.8 ,18.7 ,2.5 ,2.0 ,,,1.48E-03,5.31E-04,1.60E-03,5.81E-04,""
2014/1/1 10:00,18.8 ,17.8 ,18.8 ,19.0 ,18.7 ,18.6 ,2.5 ,2.0 ,,,1.54E-03,5.56E-04,1.17E-03,6.28E-04,""
2014/1/1 11:00,18.8 ,17.8 ,18.8 ,19.0 ,18.7 ,18.7 ,2.5 ,2.0 ,,,1.55E-03,5.43E-04,1.71E-03,5.67E-04,""
2014/1/1 12:00,18.7 ,17.7 ,18.8 ,18.9 ,18.7 ,18.6 ,2.4 ,2.0 ,,,1.82E-03,5.76E-04,1.51E-03,5.67E-04,""
2014/1/1 13:00,18.7 ,17.7 ,18.8 ,18.9 ,18.7 ,18.6 ,2.5 ,2.0 ,,,1.22E-03,5.93E-04,1.47E-03,5.72E-04,""
2014/1/1 14:00,18.7 ,17.7 ,18.8 ,18.9 ,18.7 ,18.6 ,2.4 ,2.0 ,,,1.72E-03,5.09E-04,1.54E-03,5.76E-04,""
2014/1/1 15:00,18.7 ,17.8 ,18.8 ,18.9 ,18.7 ,18.6 ,2.5 ,2.0 ,,,1.65E-03,5.37E-04,1.54E-03,5.69E-04,""
2014/1/1 16:00,18.7 ,17.7 ,18.8 ,18.9 ,18.7 ,18.6 ,2.5 ,2.0 ,,,1.77E-03,5.39E-04,1.77E-03,5.63E-04,""
2014/1/1 17:00,18.8 ,17.8 ,18.8 ,18.9 ,18.7 ,18.6 ,2.5 ,2.0 ,,,1.53E-03,5.75E-04,1.33E-03,5.77E-04,""
2014/1/1 18:00,18.8 ,17.8 ,18.8 ,18.9 ,18.7 ,18.6 ,2.5 ,2.0 ,,,1.82E-03,4.97E-04,1.48E-03,5.67E-04,""
2014/1/1 19:00,18.8 ,17.8 ,18.8 ,19.0 ,18.8 ,18.7 ,2.5 ,2.0 ,,,1.52E-03,5.32E-04,1.49E-03,6.13E-04,""
2014/1/1 20:00,18.8 ,17.8 ,18.8 ,19.0 ,18.8 ,18.7 ,2.5 ,2.0 ,,,1.05E-03,5.56E-04,1.79E-03,5.61E-04,""
2014/1/1 21:00,18.8 ,17.8 ,18.8 ,19.0 ,18.7 ,18.6 ,2.5 ,2.0 ,,,1.77E-03,5.25E-04,1.00E-03,6.07E-04,""
2014/1/1 22:00,18.7 ,17.7 ,18.8 ,18.9 ,18.7 ,18.6 ,2.5 ,2.0 ,,,1.66E-03,5.16E-04,1.51E-03,6.02E-04,""
2014/1/1 23:00,18.8 ,17.8 ,18.8 ,18.9 ,18.7 ,18.6 ,2.5 ,2.0 ,,,1.50E-03,5.28E-04,1.04E-03,5.76E-04,""
2014/1/2 0:00,18.7 ,17.7 ,18.8 ,18.9 ,18.7 ,18.6 ,2.5 ,2.0 ,,,1.31E-03,5.41E-04,1.42E-03,6.06E-04,""
2014/1/2 1:00,18.7 ,17.7 ,18.8 ,18.9 ,18.7 ,18.6 ,2.5 ,2.0 ,,,1.54E-03,5.20E-04,1.55E-03,5.70E-04,""
2014/1/2 2:00,18.7 ,17.7 ,18.8 ,18.9 ,18.7 ,18.6 ,2.5 ,2.0 ,,,1.85E-03,5.38E-04,1.31E-03,5.79E-04,""
2014/1/2 3:00,18.8 ,17.7 ,18.8 ,19.0 ,18.7 ,18.6 ,2.5 ,2.0 ,,,1.50E-03,5.34E-04,1.64E-03,5.89E-04,""
2014/1/2 4:00,18.8 ,17.8 ,18.8 ,19.0 ,18.7 ,18.6 ,2.5 ,2.0 ,,,1.25E-03,5.38E-04,1.40E-03,5.88E-04,""
2014/1/2 5:00,18.7 ,17.7 ,18.8 ,18.9 ,18.7 ,18.6 ,2.5 ,2.0 ,,,1.83E-03,5.82E-04,1.60E-03,5.82E-04,""
2014/1/2 6:00,18.7 ,17.7 ,18.8 ,18.9 ,18.7 ,18.6 ,2.5 ,2.0 ,,,1.44E-03,5.39E-04,1.78E-03,5.77E-04,""
2014/1/2 7:00,18.8 ,17.8 ,18.8 ,19.0 ,18.7 ,18.6 ,2.5 ,2.0 ,,,1.43E-03,5.42E-04,1.59E-03,5.75E-04,""
2014/1/2 8:00,18.8 ,17.7 ,18.8 ,18.9 ,18.7 ,18.6 ,2.5 ,2.0 ,,,1.61E-03,5.83E-04,1.41E-03,5.74E-04,""
2014/1/2 9:00,18.7 ,17.7 ,18.8 ,18.9 ,18.7 ,18.6 ,2.5 ,2.0 ,,,1.53E-03,5.42E-04,1.58E-03,5.84E-04,""
2014/1/2 10:00,18.7 ,17.7 ,18.8 ,18.9 ,18.7 ,18.6 ,2.5 ,2.0 ,,,1.29E-03,5.81E-04,1.47E-03,5.67E-04,""
2014/1/2 11:00,18.7 ,17.7 ,18.8 ,18.9 ,18.7 ,18.6 ,2.5 ,2.0 ,,,1.66E-03,5.20E-04,1.47E-03,5.84E-04,""
2014/1/2 12:00,18.7 ,17.7 ,18.7 ,18.9 ,18.7 ,18.6 ,2.5 ,2.0 ,,,1.56E-03,5.22E-04,1.73E-03,5.64E-04,""
